TimeStamp,Voltage,ppm
19/12/2016-02:49:46,4.2097,-71.3
19/12/2016-02:49:46,4.2097,-71.3
19/12/2016-02:49:47,4.2097,-71.3
19/12/2016-02:49:47,4.2097,-71.3
19/12/2016-02:49:48,4.2097,-71.3
19/12/2016-02:49:48,4.2097,-71.3
19/12/2016-02:49:49,4.2097,-71.3
19/12/2016-02:49:49,4.2097,-71.3
19/12/2016-02:49:50,4.2097,-71.3
19/12/2016-02:49:50,4.2097,-71.3
19/12/2016-02:49:51,4.2097,-71.3
19/12/2016-02:49:51,4.2097,-71.3
19/12/2016-02:49:52,4.2097,-71.3
19/12/2016-02:49:52,4.2097,-71.3
19/12/2016-02:49:53,4.2097,-71.3
19/12/2016-02:49:54,4.2097,-71.3
19/12/2016-02:49:54,4.2097,-71.3
19/12/2016-02:49:55,4.2097,-71.3
19/12/2016-02:49:55,4.2097,-71.3
19/12/2016-02:49:56,4.2097,-71.3
19/12/2016-02:49:56,4.2097,-71.3
19/12/2016-02:49:57,4.2097,-71.3
19/12/2016-02:49:57,4.2097,-71.3
19/12/2016-02:49:58,4.2097,-71.3
19/12/2016-02:49:58,4.2097,-71.3
19/12/2016-02:49:59,4.2097,-71.3
19/12/2016-02:49:59,4.2097,-71.3
19/12/2016-02:50:00,4.2097,-71.3
19/12/2016-02:50:00,4.2097,-71.3
19/12/2016-02:50:01,4.2097,-71.3
19/12/2016-02:50:02,4.2097,-71.3
19/12/2016-02:50:02,4.2097,-71.3
19/12/2016-02:50:03,4.2097,-71.3
19/12/2016-02:50:03,4.2097,-71.3
19/12/2016-02:50:04,4.2097,-71.3
