TimeStamp,Voltage,ppm
18/12/2016-15:05:00,16.37072860,-25551.9
18/12/2016-15:05:01,16.37075950,-25550.0
18/12/2016-15:05:01,16.37069140,-25554.1
18/12/2016-15:05:02,16.37071290,-25552.8
18/12/2016-15:05:02,16.37068450,-25554.5
18/12/2016-15:05:03,16.37070130,-25553.5
18/12/2016-15:05:03,16.37068440,-25554.5
18/12/2016-15:05:04,16.37070110,-25553.5
18/12/2016-15:05:04,16.37070540,-25553.3
18/12/2016-15:05:04,16.37074300,-25551.0
18/12/2016-15:05:05,16.37069310,-25554.0
18/12/2016-15:05:05,16.37069000,-25554.2
18/12/2016-15:05:06,16.37084740,-25544.8
18/12/2016-15:05:06,16.37076700,-25549.6
18/12/2016-15:05:07,16.37070060,-25553.5
18/12/2016-15:05:07,16.37067570,-25555.0
18/12/2016-15:05:08,16.37071070,-25552.9
18/12/2016-15:05:08,16.37070160,-25553.5
18/12/2016-15:05:09,16.37069090,-25554.1
18/12/2016-15:05:09,16.37067620,-25555.0
18/12/2016-15:05:10,16.37069340,-25554.0
18/12/2016-15:05:10,16.37069600,-25553.8
18/12/2016-15:05:10,16.37069340,-25554.0
18/12/2016-15:05:11,16.37068000,-25554.8
18/12/2016-15:05:11,16.37070150,-25553.5
18/12/2016-15:05:12,16.37069440,-25553.9
18/12/2016-15:05:12,16.37070060,-25553.5
18/12/2016-15:05:13,16.37069110,-25554.1
18/12/2016-15:05:13,16.37067970,-25554.8
18/12/2016-15:05:14,16.37068050,-25554.7
18/12/2016-15:05:14,16.37070270,-25553.4
18/12/2016-15:05:15,16.37072000,-25552.4
18/12/2016-15:05:15,16.37065660,-25556.2
18/12/2016-15:05:16,16.37070920,-25553.0
18/12/2016-15:05:16,16.37070960,-25553.0
18/12/2016-15:05:17,16.37069180,-25554.1
18/12/2016-15:05:17,16.37069870,-25553.6
18/12/2016-15:05:17,16.37070380,-25553.3
18/12/2016-15:05:18,16.37069830,-25553.7
18/12/2016-15:05:18,16.37069040,-25554.1
18/12/2016-15:05:19,16.37069840,-25553.7
18/12/2016-15:05:19,16.37070600,-25553.2
18/12/2016-15:05:20,16.37070250,-25553.4
18/12/2016-15:05:20,16.37068380,-25554.5
18/12/2016-15:05:21,16.37070440,-25553.3
18/12/2016-15:05:21,16.37071240,-25552.8
18/12/2016-15:05:22,16.37071000,-25553.0
18/12/2016-15:05:22,16.37067600,-25555.0
18/12/2016-15:05:23,16.37067160,-25555.3
18/12/2016-15:05:23,16.37069870,-25553.6
18/12/2016-15:05:24,16.37076280,-25549.8
18/12/2016-15:05:24,16.37066400,-25555.7
18/12/2016-15:05:24,16.37074860,-25550.7
18/12/2016-15:05:25,16.37073850,-25551.3
18/12/2016-15:05:25,16.37069150,-25554.1
18/12/2016-15:05:26,16.37073380,-25551.6
18/12/2016-15:05:32,16.37070190,-25553.5
18/12/2016-15:05:33,16.37068510,-25554.5
18/12/2016-15:05:33,16.37069590,-25553.8
18/12/2016-15:05:34,16.37069760,-25553.7
18/12/2016-15:05:34,16.37069750,-25553.7
18/12/2016-15:05:35,16.37068680,-25554.4
18/12/2016-15:05:35,16.37074660,-25550.8
18/12/2016-15:05:36,16.37068700,-25554.3
18/12/2016-15:05:36,16.37070540,-25553.3
18/12/2016-15:05:37,16.37069470,-25553.9
18/12/2016-15:05:37,16.37068110,-25554.7
18/12/2016-15:05:37,16.37068510,-25554.5
18/12/2016-15:05:38,16.37069020,-25554.2
18/12/2016-15:05:38,16.37070440,-25553.3
18/12/2016-15:05:39,16.37069460,-25553.9
18/12/2016-15:05:39,16.37069530,-25553.9
18/12/2016-15:05:40,16.37070470,-25553.3
18/12/2016-15:05:40,16.37071060,-25552.9
18/12/2016-15:05:41,16.37070540,-25553.3
18/12/2016-15:05:41,16.37070140,-25553.5
18/12/2016-15:05:42,16.37071590,-25552.6
18/12/2016-15:05:42,16.37070260,-25553.4
18/12/2016-15:05:43,16.37067790,-25554.9
18/12/2016-15:05:43,16.37068040,-25554.7
18/12/2016-15:05:43,16.37071160,-25552.9
18/12/2016-15:05:44,16.37068820,-25554.3
18/12/2016-15:05:44,16.37069530,-25553.9
18/12/2016-15:05:45,16.37071050,-25552.9
18/12/2016-15:05:45,16.37071430,-25552.7
18/12/2016-15:05:46,16.37074520,-25550.9
18/12/2016-15:05:46,16.37069600,-25553.8
18/12/2016-15:05:47,16.37072380,-25552.2
18/12/2016-15:05:47,16.37067370,-25555.1
18/12/2016-15:05:48,16.37070250,-25553.4
18/12/2016-15:05:48,16.37070880,-25553.0
18/12/2016-15:05:49,16.37070450,-25553.3
18/12/2016-15:05:49,16.37072850,-25551.9
18/12/2016-15:05:50,16.37067940,-25554.8
18/12/2016-15:05:50,16.37071370,-25552.8
18/12/2016-15:05:50,16.37070960,-25553.0
18/12/2016-15:05:51,16.37069090,-25554.1
18/12/2016-15:05:51,16.37069370,-25553.9
18/12/2016-15:05:52,16.37070360,-25553.4
18/12/2016-15:05:52,16.37070210,-25553.4
18/12/2016-15:05:53,16.37071610,-25552.6
18/12/2016-15:05:53,16.37068990,-25554.2
18/12/2016-15:05:54,16.37070530,-25553.3
18/12/2016-15:05:54,16.37073300,-25551.6
18/12/2016-15:05:55,16.37069350,-25554.0
18/12/2016-15:05:55,16.37070500,-25553.3
18/12/2016-15:05:56,16.37070060,-25553.5
18/12/2016-15:05:56,16.37068330,-25554.6
